文章标题,抽象的
探索多尺度基于对象的卷积神经网络（multi-OCNN）用于高空间分辨率的遥感图像分类,"卷积神经网络 (CNN) 已越来越多地用于遥感图像的土地覆盖制图。然而，使用传统 CNN 进行大面积分类的计算成本很高，并且使用滑动窗口方法生成粗略的地图。为了解决这个问题，基于对象的 CNN（OCNN）成为提高分类性能的替代解决方案。然而，以往的研究主要集中在城市区域或小场景，对于异质景观的大面积分类仍然需要OCNN方法的实现。此外，分割对象的大量标记需要一种实用的方法来减少计算量，包括对象分析和多个 CNN。本研究提出了一种新的多尺度 OCNN (multi-OCNN) 框架，用于在超过 145,740 公里 (2) 的 1 米分辨率下进行大规模土地覆盖分类。我们的方法包括三个主要步骤：（i）图像分割，（ii）使用基于骨架的算法进行对象分析，以及（iii）应用多个 CNN 进行最终分类。此外，我们开发了一个名为 IowaNet 的大型基准数据集，其中包含 100 万张标记图像和 10 个类别。在我们的方法中，多尺度 CNN 被训练以在对象的语义标记期间捕获最佳上下文信息。同时，骨架化算法提供了对象的形态表示（中轴），以支持选择卷积位置进行 CNN 预测。总的来说，与传统的基于补丁的 CNN (81.6%) 和固定输入 OCNN (82%) 相比，提出的多 OCNN 具有更好的分类准确率（总体准确率接近 87.2%）。此外，结果表明，该框架分别比传统的像素级 CNN16 或 CNN256 快 8.1 倍和 111.5 倍。事实证明，多个 CNN 和对象分析对于准确和快速的分类至关重要。虽然多 OCNN 在土地覆盖产品中产生了高水平的空间细节，但在某些类别中观察到错误分类，例如道路与建筑物或阴影与湖泊。尽管存在这些小缺点，但我们的结果也证明了 IowaNet 训练数据集在模型性能方面的优势；过拟合过程随着样本数量的增加而减少。多 OCNN 的局限性部分可以通过分割质量和航空数据中有限的光谱带数量来解释。随着深度学习方法的进步，本研究支持多 OCNN 对 1 米分辨率可操作大规模土地覆盖产品的好处的主张。"
用于遥感图像语义分割的多尺度自适应特征融合网络,由于存在复杂的背景、不规则的目标形状以及多个目标类别外观的相似性，高分辨率遥感图像的语义分割极具挑战性。现有的大多数分割方法仅依赖于提取的多尺度特征的简单融合，当目标尺寸差异较大时，往往无法提供令人满意的结果。通过多尺度上下文提取和多尺度特征的有效融合来解决这个问题，在本文中，我们提出了一种端到端的多尺度自适应特征融合网络（MANet），用于遥感图像中的语义分割。它是一种编解码结构，包括多尺度上下文提取模块（MCM）和自适应融合模块（AFM）。 MCM 采用两层具有不同膨胀率的空洞卷积和全局平均池来并行提取多个尺度的上下文信息。 MANet 嵌入了通道注意机制来融合语义特征。通过全局平均池化连接高级和低级语义信息以生成全局特征。这些全局特征作为通道权重，由全连接层获取每个通道的自适应权重信息。为了实现有效的融合，这些调整后的权重被应用于融合的特征。通过与其他六个最先进的网络进行比较来评估所提出方法的性能：完全卷积网络 (FCN)、U-net、UZ1、轻量级 RefineNet、DeepLabv3+ 和 APPD。使用公开可用的 Potsdam 和 Vaihingen 数据集进行的实验表明，所提出的 MANet 显着优于其他现有网络，总体准确率分别达到 89.4% 和 88.2%，平均 F1 分别达到 90.4% 和 86.7%。
优化卷积神经网络以对大型材料成像数据集执行语义分割：X 射线断层扫描和连续切片,机器学习用于分割由基于同步加速器的枝晶生长的 X 射线计算机断层扫描 (XCT) 图像和枝晶粗化的连续切片 (SS) 图像产生的大型材料科学数据集。与仅使用 30 个 XCT 或 6 个 SS 训练图像的传统分割技术相比，这两种神经网络 (NN) 在数量上都产生了更准确的输出。我们表明，如果使用从固定数量的训练数据中采样的大量小图像来训练 NN，则可以提高性能。为 XCT 和 SS 数据集确定了最佳图像大小和训练图像数量。还通过将性能最高的 XCT 和 SS NN 应用于相关数据集来测试 NN 可迁移性。虽然初始分割是成功的，但对原始图像应用简单的变换进一步提高了 NN 性能。这些结果显示了使用机器学习分割大型材料科学数据集的强大预测能力和充满希望的未来。
作物类型之间的迁移学习，用于精准农业中作物与杂草的语义分割,农业机器人依靠语义分割来区分农作物和杂草，以进行选择性处理并提高产量和农作物健康，同时减少化学品的使用量。深度学习方法最近实现了出色的分类性能和实时执行。然而，这些技术也依赖于大量的训练数据，需要大量的标注工作，而这两者在精准农业中都是稀缺的。需要额外的设计工作才能在不同的环境条件和作物生长阶段达到商业上可行的性能水平。在本文中，我们探讨了不同作物类型的基于深度学习的分类器之间知识转移的作用，目的是减少新作物所需的再训练时间和标记工作。我们检查了三个具有不同作物类型并包含各种杂草的数据集的分类性能，并比较了使用像素级别标记的数据与通过较少耗时的分割输出注释过程获得的部分标记数据时所需的性能和再训练工作.我们表明，不同作物类型之间的迁移学习是可能的，并且可以将训练时间减少多达 80%。此外，我们表明，即使用于再训练的数据注释不完善，分类性能也与使用费力注释的像素精度数据训练的网络相比，分类性能在 2% 以内。
通过基于密集属性的注意力的细粒度广义零样本学习,我们解决了视觉相似类的细粒度广义零样本识别问题，而无需为某些类训练图像。我们提出了一种基于密集属性的注意机制，该机制针对每个属性关注最相关的图像区域，获得基于属性的特征。我们没有将图像的全局特征向量与其关联的类语义向量对齐，而是提出了一种属性嵌入技术，该技术将每个基于属性的特征与其属性语义向量对齐。因此，我们计算一个属性分数向量，用于图像中每个属性的存在，其与真实类语义向量的相似性最大化。此外，我们使用属性上的注意机制调整每个属性分数，以更好地捕捉不同属性的判别力。为了解决测试期间对可见类的偏见的挑战，我们提出了一种新的自校准损失，它可以调整未见类的概率以解释训练偏差。我们对 CUB、SUN 和 AWA2 三个流行的数据集以及大规模的 DeepFashion 数据集进行了实验，表明我们的模型显着提高了最先进的水平。
IMRAM：用于跨模态图像文本检索的循环注意记忆的迭代匹配,启用图像和文本的双向检索对于理解视觉和语言之间的对应关系非常重要。现有方法利用注意力机制以细粒度的方式探索这种对应关系。然而，它们中的大多数都平等地考虑所有语义，因此将它们统一对齐，而不管它们的复杂性如何。事实上，语义是多种多样的（即涉及不同种类的语义概念），人类通常遵循一种潜在结构将它们组合成可理解的语言。在现有方法中可能难以最佳地捕获这种复杂的对应关系。在本文中，为了解决这一缺陷，我们提出了一种迭代匹配与循环注意记忆（IMRAM）方法，其中图像和文本之间的对应关系通过多个对齐步骤来捕获。具体来说，我们引入了一种迭代匹配方案来逐步探索这种细粒度的对应关系。内存蒸馏单元用于将对齐知识从早期步骤提炼到后面的步骤。在三个基准数据集（即 Flickr8K、Flickr30K 和 MS COCO）上的实验结果表明，我们的 IMRAM 实现了最先进的性能，很好地证明了它的有效性。在名为 KWAI-AD 的实用商业广告数据集上进行的实验进一步验证了我们的方法在实际场景中的适用性。
用于光学航空图像变化检测的基于卷积神经网络的迁移学习,考虑到监督变化检测任务缺乏标记的训练数据集，在这封信中，我们试图通过提出一种基于卷积神经网络 (CNN) 的变化检测方法和新设计的损失函数来实现迁移学习。不同的数据集。为了实现这一目标，我们首先利用用于监督语义分割任务的相对充足的训练数据，在开源数据集上预训练 U-Net 模型。然后，我们最小化一个巧妙设计的损失函数，结合从预训练模型中提取的高级特征和变化检测数据集中包含的语义信息，从而实现迁移学习。第三，我们计算从上述步骤获得的特征向量之间的距离并生成差异图。最后，在差异图上使用简单的聚类方法甚至可以获得满意的变化图。在典型的光学航拍图像数据集上进行的实验验证了所提出的方法与最先进的无监督方法相比具有优势。
微观藻类检测中的语义与实例分割,微观藻类分割，特别是硅藻，是水质评估的重要程序。这些微藻的分割仍然是计算机视觉的挑战。本文首次解决了这个问题，使用深度学习方法来准确预测属于每个类别的像素，即硅藻和非硅藻。对语义分割和实例分割进行了比较，并在存在不同类型噪声的情况下评估了这些方法的性能。然后使用用于手动硅藻识别的相同原始图像评估经过训练的模型。总共分析了 60 倍放大倍率、2592x1944 像素大小的整个视场的 126 张图像。这些图像包含 10 个不同的分类群以及碎片和碎片。通过实例分割获得了最佳结果，平均精度为 85%，灵敏度为 86%，特异性为 91%（精度高达 92%，某些分类群的灵敏度和特异性均为 98%）。语义分割能够将平均灵敏度提高到 95%，但将特异性降低到 60%，将精度降低到 57%。当发生重叠时，实例分割还能够正确分离硅藻，这有助于估计硅藻的数量，这是水质分级的关键要求。
用于广义零样本学习的域感知视觉偏差消除,广义零样本学习旨在识别来自可见和不可见域的图像。最近的方法侧重于学习统一的语义对齐视觉表示以在两个领域之间传递知识，而忽略了无语义视觉表示在减轻有偏见的识别问题方面的作用。在本文中，我们提出了一种新颖的域感知视觉偏差消除（DVBE）网络，该网络构建了两个互补的视觉表示，即无语义和语义对齐，以分别处理可见域和不可见域。具体来说，我们探索了交叉注意力的二阶视觉统计来压缩无语义表示，并设计了一个自适应边距 Softmax 来最大化类间差异。因此，无语义表示变得具有足够的判别力，不仅可以准确地预测看到的类别，而且还可以根据预测的类别熵过滤掉未看到的图像，即域检测。对于看不见的图像，我们自动搜索最佳语义视觉对齐架构，而不是手动设计，以预测看不见的类别。通过准确的域检测，显着减少了对所见域的偏向识别问题。对五个分类和分割基准的实验表明，DVBE 的性能优于现有方法，平均提高了 5.7%。
自动驾驶中激光雷达点云的深度学习：综述,最近，深度学习 (DL) 在从 3-D LiDAR 数据进行判别特征学习方面的进步导致了自动驾驶领域的快速发展。然而，自动处理不均匀、非结构化、嘈杂和海量的 3-D 点云是一项具有挑战性和乏味的任务。在本文中，我们对应用于激光雷达点云的现有引人注目的深度学习架构进行了系统回顾，详细介绍了自动驾驶中的特定任务，例如分割、检测和分类。尽管有几篇已发表的研究文章专注于自动驾驶汽车计算机视觉的特定主题，但迄今为止，还没有关于在自动驾驶汽车激光雷达点云中应用深度学习的一般性调查。因此，本文的目标是缩小该主题的差距。本次调查总结了近五年来的 140 多项关键贡献，包括具有里程碑意义的 3-D 深度架构、DL 在 3-D 语义分割、对象检测和分类中的显着应用；具体的数据集、评估指标和最先进的性能。最后，我们总结了剩余的挑战和未来的研究。
遥感图像解译的Few-Shot学习研究进展,深度学习的快速发展为遥感图像解译带来了有效的解决方案。训练深度神经网络模型通常需要大量手动标记的样本。然而，在遥感领域获得足够的标记样本来满足数据需求是有局限性的。因此，开展小样本学习在遥感图像解译中的研究具有重要意义。首先，本文对与少样本学习相关的现有遥感解释工作进行了文献计量分析。其次，介绍了基于数据增强和基于先验知识的两类小样本学习方法，用于遥感图像的解释。然后，列出了三种典型的遥感解释应用，包括场景分类、语义分割和目标检测，以及相应的公共数据集和评估标准。最后对研究现状进行了总结，并提出了一些可能的研究方向。本文为从事遥感领域小样本学习研究的学者提供参考。
TGNet：基于 3-D 点云分割的几何图 CNN,最近的几何深度学习工作定义了局部区域的卷积运算，并在非欧几里得数据（包括图形和点云）上取得了显着的成功。然而，输入与其相邻坐标或特征之间的高级几何相关性没有得到充分利用，导致分割性能不理想。在本文中，我们提出了一种新颖的图卷积架构，我们将其称为泰勒高斯混合模型 (GMM) 网络 (TGNet)，以有效地从点云中学习富有表现力和组合的局部几何特征。 TGNet 由基本几何单元 TGConv 组成，这些单元在不规则点集上进行局部卷积，并由一系列滤波器参数化。具体来说，这些滤波器被定义为局部点特征和从局部坐标中提取的相邻几何特征的乘积。这些几何特征由高斯加权泰勒核表示。然后，参数池化层聚合 TGConv 特征，为每个点生成新的特征向量。 TGNet 在多尺度邻域上使用 TGConv 来提取从粗到细的语义深度特征，同时提高其尺度不变性。此外，在输出层内采用条件随机场（CRF）以进一步改善分割结果。使用三个点云数据集，定性和定量实验结果表明，所提出的方法在 ScanNet 上实现了 62.2% 的平均准确率，在斯坦福大型 3D 室内空间 (S3DIS) 和巴黎上实现了 57.8% 和 68.17% 的平均交叉联合 (mIoU) -Lille-3D 数据集，分别。
基于改进Mask R-CNN的高空间分辨率遥感图像高效建筑物提取方法,在本文中，我们考虑从高空间分辨率遥感图像中提取建筑物。目前，大多数建筑物提取方法都是基于人工特征的。然而，建筑物的多样性和复杂性意味着建筑物提取方法仍然面临着巨大的挑战，因此最近提出了基于深度学习的方法。本文提出了一种基于卷积神经网络和边缘检测算法的建筑物提取框架。该方法称为Mask R-CNN Fusion Sobel。由于Mask R-CNN在图像分割领域的突出成就，本文对其进行了改进，然后将其应用于遥感图像建筑物提取。我们的方法由三个部分组成。首先，使用卷积神经网络进行粗略定位和像素级分类，通过自动发现语义特征来解决误提取和漏提取的问题。其次，利用Sobel边缘检测算法对建筑物边缘进行准确分割，解决深度卷积神经网络在语义分割中的边缘提取和对象完整性问题。第三，通过融合算法提取建筑物。我们利用提出的框架从中国卫星GF-2的高分辨率遥感图像中提取建筑物，实验表明，该方法的IOU（intersection over union）平均值为88.7%，平均值为Kappa 分别为 87.8%。因此，我们的方法可以应用于复杂建筑物的识别和分割，并且在准确性上优于经典方法。
使用深度学习从 CubeSat 图像中绘制北麓河地区（青藏高原）的倒退解冻塌陷图,退冻塌陷（RTS）是多年冻土区最具活力的地貌之一，其形成可归因于富含冰的多年冻土的融化。由于 RTS 的位置偏远和自动测绘的技术挑战，人们对青藏高原 RTS 的空间分布和影响知之甚少。在这项研究中，我们创新地将用于语义分割的前沿深度学习算法 DeepLabv3 + 应用于具有高空间和时间分辨率的卫星图像 Planet CubeSat 图像。我们的方法允许我们在 5200 km(2) 的区域内自动描绘 220 个 RTS，平均精度为 0.541。当与并集的交集阈值为 0.5 时，对应的准确率、召回率和 F1 分数分别为 0.863、0.833 和 0.848。此外，大约 100 个关于 k 折交叉验证（k = 3、5 和 10）和数据增强的实验表明我们的方法是稳健的。并且在不同地理区域的测试表明，训练模型的泛化能力非常好。我们发现（1）大多数 RTS 面积较小（面积 < 8 公顷，周长 < 2000 m）；（2）RTS 优先发育在缓坡（4 到 8 度）的位置，以及低于周围环境的区域（平均地形位置指数为 - 0.17) 并且接收的太阳辐射较少（即朝北的斜坡）。结果表明，该方法可以从 Planet CubeSat 图像中自动映射 RTS，并有可能应用于更大的区域。
基于深度学习算法的非增殖性糖尿病视网膜病变微动脉瘤预后和早期诊断系统的糖尿病视网膜病变检测,几十年来，预测眼底图像中微动脉瘤的存在和早期识别糖尿病视网膜病变一直是一项重大挑战。糖尿病视网膜病变 (DR) 受到长期高血糖水平的影响，这会导致微血管并发症和不可逆的视力丧失。视网膜微动脉瘤形成和黄斑水肿是 DR 的最初征兆，在正确的时间进行诊断可以降低非增殖性糖尿病视网膜病变的风险。深度学习的快速改进使其逐渐成为一种有效的技术，为医学图像分析问题提供有趣的解决方案。所提出的系统使用卷积神经网络算法分析眼底图像中微动脉瘤的存在，该算法将深度学习作为核心组件，通过 GPU（图形处理单元）加速，以高性能和低延迟推理执行医学图像检测和分割。语义分割算法用于将眼底图片分类为正常或感染。语义分割根据图像像素的共同语义对其进行划分，以识别微动脉瘤的特征。这提供了一个自动化系统，可帮助眼科医生将眼底图像分级为早期 NPDR、中度 NPDR 和严重 NPDR。已经提出了微动脉瘤的预后和非增殖性糖尿病视网膜病变系统的早期诊断系统，该系统能够有效训练深度卷积神经网络用于眼底图像的语义分割，从而提高 NPDR（非增殖性糖尿病视网膜病变）的效率和准确性预言。
通过具有非局部块的全卷积编码器-解码器网络从高分辨率航空图像中自动提取建筑物,从高分辨率航空图像中自动提取建筑物是土地利用统计和城市规划等各种实际应用的一项重要而基础的任务。最近，基于深度学习的各种方法，尤其是全卷积网络，在这项具有挑战性的语义分割任务中取得了令人瞩目的成绩。然而，缺乏全局上下文信息和粗心的上采样方法限制了建筑物提取任务性能的进一步提高。为了同时解决这些问题，我们提出了一种名为高效非局部残差 U 形网络（ENRU-Net）的新型网络，该网络由精心设计的 U 形编码器-解码器结构和改进的非局部块组成，称为不对称金字塔非局部块（APNB）。采用encoder-decoder结构对特征图进行细致的提取和恢复，APNB可以利用self-attention机制捕获全局上下文信息。我们评估了提议的 ENRU-Net，并将其与两个广泛使用的公共航空建筑图像数据集上的其他最先进的模型进行比较：马萨诸塞州建筑数据集和 WHU 航空图像数据集。实验表明，ENRU-Net 在这些数据集上的准确性与之前最先进的语义分割模型（包括 FCN-8s、U-Net、SegNet 和 Deeplab v3）相比有显着提高。随后的分析还表明，我们的 ENRU-Net 在从高分辨率航空图像中提取建筑物的效率方面具有优势。
通过解耦的身体和边缘监督改进语义分割,现有的语义分割方法要么旨在通过对全局上下文进行建模来提高对象的内部一致性，要么通过多尺度特征融合沿其边界细化对象细节。在本文中，提出了一种新的语义分割范式。我们的见解是，语义分割的吸引人的性能需要明确地建模对象的身体和边缘，这对应于图像的高频和低频。为此，我们首先通过学习流场来扭曲图像特征，以使对象部分更加一致。通过显式采样不同的部分（身体或边缘）像素，在解耦监督下进一步优化生成的身体特征和残余边缘特征。我们表明，所提出的具有各种基线或骨干网络的框架可以带来更好的对象内部一致性和对象边界。在包括 Cityscapes、CamVid、KIITI 和 BDD 在内的四个主要道路场景语义分割基准上的广泛实验表明，我们提出的方法在保持高效推理的同时建立了新的技术状态。特别是，我们在 Cityscape 上仅使用经过精细注释的数据就达到了 83.7 mIoU %。代码和模型可用于促进任何进一步的研究 (https://github.com/lxtGH/DecoupleSegNets)。
高空间分辨率遥感影像地理空间目标分割的前景感知关系网络,地理空间对象分割作为一种特殊的语义分割任务，在高空间分辨率（HSR）遥感影像中总是面临着较大的尺度变化、较大的背景类内方差和前景-背景不平衡的问题。然而，一般的语义分割方法主要关注自然场景中的尺度变化，而对大面积地球观测场景中通常发生的其他两个问题考虑不足。在本文中，我们认为问题在于缺乏前景建模，并从基于关系和基于优化的前景建模的角度提出了前景感知关系网络（FarSeg），以缓解上述两个问题。从关系的角度来看，FarSeg 通过学习前景-场景关系关联的前景相关上下文来增强对前景特征的识别。同时，从优化的角度，提出了一种前景感知优化，在训练过程中关注前景样本和背景的硬样本，实现均衡优化。使用大规模数据集获得的实验结果表明，所提出的方法优于最先进的通用语义分割方法，并在速度和准确性之间取得了更好的平衡。
TSNet：用于 RGB-D 室内语义分割的三流自注意力网络,本文提出了一种用于室内语义分割的三流自注意力网络（TSNet），包括两个不对称输入流（不对称编码器结构）和一个带有自注意力模块的跨模态蒸馏流。两个不对称输入流是用于红绿蓝 (RGB) 流的 ResNet34 和用于深度流的 VGGNet16。伴随 RGB 和深度流，带有自注意力模块的跨模态蒸馏流在自下而上路径的每个级别中提取新的 RGB 和深度特征。此外，在使用双线性上采样恢复特征图的空间分辨率的同时，我们通过自注意力模块将 RGB 流和深度流的特征信息结合起来。我们构建了 NYU Depth V2 数据集来评估 TSNet，并取得了与当前最先进方法相当的结果。
多模态 GAN：迈向跨模态高光谱多光谱图像分割,本文解决了大规模城市场景中跨模态数据有限的语义分割问题。大多数先前的工作都试图通过使用多模态深度神经网络（DNN）来解决这个问题。然而，它们在多模态中有效混合不同属性以及从复杂场景中稳健地学习表示的能力仍然有限，特别是在缺乏足够且注释良好的训练图像的情况下。这导致了与多模态 DNN 的跨模态学习相关的挑战。为此，我们在网络中引入了两个新颖的即插即用单元：自生成对抗网络 (GAN) 模块和相互 GAN 模块，以分别学习扰动不敏感的特征表示并消除多模态之间的差距，产生更有效和稳健的信息传输。此外，设计了一种补丁式渐进式训练策略，以使有限样本的有效网络学习成为可能。我们在两个多模态（高光谱和多光谱）开销图像数据集上评估所提出的网络，并与几种最先进的方法相比取得了显着的改进。
智能农业中的空中视觉感知：小麦黄锈病监测的实地研究,农业正面临来自作物胁迫的严峻挑战，威胁到其可持续发展和粮食安全。本文利用航空视觉感知进行黄锈病监测，无缝集成了无人机传感、多光谱成像、植被分割和深度学习 U-Net 等最先进的技术和算法。设计了一个田间试验，用黄锈病菌侵染冬小麦，在上面用配备RedEdge相机的DJI Matrice 100拍摄多光谱航拍图像。在图像校准和拼接之后，通过检查 Parrot Anafi Drone 拍摄的高分辨率 RGB 图像来标记多光谱正射镶嵌以进行系统评估。所开发的框架同时绘制光谱空间信息的优点通过经典随机森林算法显示出比纯基于光谱的分类器的性能有所提高来证明。此外，通过包装算法的顺序前向选择策略，测试了各种网络输入波段组合，包括三个 RGB 波段和五个选定的光谱植被指数。
深度医学图像分割的置信度校准和预测不确定性估计,全卷积神经网络 (FCN)，尤其是 U-Net，在众多医学成像应用的语义分割方面取得了最先进的成果。此外，批量归一化和 Dice 损失已成功用于稳定和加速训练。然而，这些网络校准不佳，即它们倾向于对正确和错误的分类产生过度自信的预测，使它们不可靠且难以解释。在本文中，我们研究了用于医学图像分割的 FCN 中的预测不确定性估计。我们做出了以下贡献： 1）我们在 FCN 的分割质量和不确定性估计方面系统地比较了交叉熵损失和 Dice 损失； 2）我们提出了模型集成，用于对经过批量归一化和 Dice 损失训练的 FCN 进行置信度校准； 3) 我们评估校准后的 FCN 预测结构分割质量和检测分布外测试示例的能力。我们对大脑、心脏和前列腺的三种医学图像分割应用进行了广泛的实验，以评估我们的贡献。这项研究的结果为医学图像分割中的预测不确定性估计和分布外检测提供了相当多的见解，并为置信度校准提供了实用的方法。此外，我们始终证明模型集成可以提高置信度校准。
DSSNet：用于高光谱图像分类的简单扩张语义分割网络,基于深度学习的方法在高光谱图像分类 (HSIC) 任务中表现出有希望的表现。然而，最近的方法通常将 HSIC 视为一个补丁图像分类问题，并通过为像素周围的补丁提供单个标签来解决该问题。在这封信中，我们提出了一种新的语义分割网络，可以直接以端到端的方式标记每个像素。与patchwise模型相比，我们的方法可以显着提高训练效果并减少一些手动参数。 HSIC 的另一个挑战是高光谱图像的空间分辨率相对较低。在这种情况下，池化操作可能会导致分辨率和覆盖丢失。为了解决这个问题，我们将扩张卷积引入我们的模型并构建扩张语义分割网络（DSSNet）。与现有的一些作品不同，DSSNet 是专门为 HSIC 设计的，没有复杂的架构，不需要预训练的模型。可以通过端到端的方式提取联合空间光谱信息，从而避免各种预处理或后处理操作。与一些最新的基于深度学习的 HSIC 模型相比，对两个公共数据集的实验证明了我们改进的有效性。
PASS：全景环形语义分割,逐像素语义分割能够统一大多数驾驶场景感知任务，并在导航辅助方面取得了显着进展，其中整个环境感知至关重要。然而，当前主流的语义分割器主要针对具有窄视野 (FoV) 的数据集进行基准测试，并且大部分基于视觉的智能车辆仅使用前向摄像头。在本文中，我们提出了一种基于紧凑型全景环形透镜系统和在线全景展开过程的全景环形语义分割（PASS）框架来感知整个环境。为了促进 PASS 模型的训练，我们利用传统的 FoV 成像数据集，绕过了创建完全密集的全景注释所需的工作。为了始终如一地利用展开的全景图中丰富的上下文线索，我们调整了我们的实时 ERF-PSPNet 来预测不同片段中具有语义意义的特征图，并将它们融合以完成全景场景解析。创新在于网络自适应以实现平滑和无缝的分割，并结合一组扩展的异构数据增强来实现全景图像的鲁棒性。各种综合实验证明了在单个 PASS 中对现实世界周围感知的有效性，而适应提议对于最先进的高效网络非常积极。
使用具有优化超参数的 CNN 对多光谱 LiDAR 数据进行土地覆盖分类,多光谱激光雷达（Light Detection And Ranging）以其光谱和空间几何数据的完整性和一致性为特点，为土地覆盖分类提供了新的数据源。近年来，卷积神经网络（CNN）与传统的机器学习方法相比，由于其更强的特征学习和特征表达能力，在图像分类、目标检测、图像语义分割等方面取得了一系列突破。然而，传统的 CNN 模型存在一些问题，例如层数过多，导致计算成本更高。为了解决这个问题，我们提出了一种基于 CNN 的多光谱 LiDAR 土地覆盖分类框架，并分析其最佳参数以提高分类精度。该框架首先将多光谱 3D LiDAR 数据预处理为 2D 图像。接下来，构建具有七个基本功能层的CNN模型，并对其超参数进行全面讨论和优化。构建的具有优化超参数的 CNN 模型在 Titan 多光谱 LiDAR 数据上进行了测试，包括 532 nm、1064 nm 和 1550 nm 三个波长。大量实验表明，构建的具有优化超参数的 CNN 对于多光谱 LiDAR 土地覆盖分类任务是可行的。与经典的 CNN 模型（即 AlexNet、VGG16 和 ResNet50）以及我们之前的研究相比，我们构建的具有优化超参数的 CNN 模型在计算性能和分类精度方面具有优势。
Morpheus：天文图像数据像素级分析的深度学习框架,我们提出了 Morpheus，一种用于生成天文来源的像素级形态分类的新模型。 Morpheus 利用深度学习的进步，通过计算机视觉领域采用的语义分割算法，逐像素执行源检测、源分割和形态分类。通过在物体检测期间利用有关真实天文源通量的形态信息，Morpheus 显示出对源的误报识别的弹性。我们通过对五个 CANDELS 字段中的哈勃太空望远镜数据执行源检测、源分割、形态分类来评估 Morpheus，重点是 GOODS South 字段，并展示了在恢复已知 GOODS South 3D-HST 源方面的高度完整性，H < 26 AB。我们公开发布代码，提供在线演示，并在 GOODS South 中展示 Morpheus 结果的交互式可视化。
使用 ALS 点云进行城市分类的深度点嵌入：从局部到全局的新视角,3D 场景的语义解释是点云处理中最具挑战性的问题之一，这也被视为各种点云应用程序中的一项基本任务。语义解释的核心任务是语义标注，即为点云中的每个点获取唯一的语义标签。尽管有几种报道的方法，但由于场景的复杂性、各种尺度的对象以及不均匀分布点的非均匀性，语义标记仍然是一个挑战。在本文中，我们提出了一种获取机载激光扫描 (ALS) 点云语义标签的新方法，该方法包括通过多尺度深度学习、用于特征降维的非线性流形学习和全局图为每个点嵌入局部上下文信息。 - 优化分类结果。具体来说，我们解决了学习判别特征和全局标记平滑的任务。我们研究的主要贡献是三方面的。首先，应用分层数据增强策略，基于PointNet++网络增强对深度特征的学习，同时在处理大规模数据集时消除分割和采样造成的伪影。随后，学习到的分层深度特征被全局优化并嵌入到低维空间中，采用基于非线性流形的联合学习方法，去除冗余和干扰信息。最后，基于马尔可夫随机场算法进行图结构优化，通过构建加权间接图并使用图割解决优化问题，实现对使用嵌入深度特征获得的初始分类结果的全局优化。我们对 ALS 点云数据集进行了彻底的实验，以评估我们框架的性能。结果表明，与其他常用的高级分类方法相比，我们的方法可以实现较高的分类准确率。我们的方法在 ISPRS 基准数据集上的总体准确率 (OA) 可以扩展到 83.2%，以对九个语义类别进行分类，从而优于其他比较的基于点的策略。此外，我们在 AHN3 数据集的选定部分上评估了我们的框架，它提供了高达 91.2% 的 OA。
高分一号遥感影像的多尺度水提取卷积神经网络（MWEN）方法,自动水体提取方法对于监测洪水、干旱和水资源具有重要意义。在这项研究中，提出了一种新的语义分割卷积神经网络，称为多尺度水提取卷积神经网络（MWEN），用于从高分一号（GF-1）遥感图像中自动提取水体。使用三个用于语义分割的卷积神经网络（全卷积网络 (FCN)、Unet 和 Deeplab V3+）与 MWEN 的水体提取性能进行比较。视觉比较和五个评估指标用于评估这些卷积神经网络 (CNN) 的性能。结果显示如下。 (1) 使用 MWEN 进行多场景水体提取的结果优于其他基于指标的比较方法。 (2) MWEN方法具有准确提取各类水体的能力，如城市水体、露天池塘、高原湖泊等。 （3）通过融合不同尺度提取的特征，MWEN具有提取不同大小水体和抑制噪声的能力，例如建筑物阴影和高速公路。因此，MWEN是一种针对高分一号卫星图像的鲁棒水体提取算法，具有利用多源高分辨率卫星遥感数据进行水体测绘的潜力。
学习用于 3D 冠状动脉分割的树结构表示,广泛的研究致力于冠状动脉的分割。然而，由于其复杂的解剖结构，从 3D 冠状动脉计算机断层扫描血管造影 (CCTA) 中自动分割冠状动脉极具挑战性。受最近使用树结构长短期记忆 (LSTM) 对 NLP 任务的底层树结构建模的想法的启发，我们提出了一种新颖的树结构卷积门控循环单元 (ConvGRU) 模型来学习冠状动脉的解剖结构动脉。然而，与为自然语言处理中的语义相关性和情感分类提出的树结构 LSTM 不同，我们的树结构 ConvGRU 模型考虑了输入数据中的局部空间相关性，因为卷积用于输入到状态以及状态到状态的转换，因此更适合图像分析。为了进行体素分割，提出了一种树结构的分割框架。它由一个用于多尺度判别特征提取和最终预测的全卷积网络 (FCN) 和一个用于解剖结构建模的树结构 ConvGRU 层组成。所提出的框架在四个大型 3D CCTA 数据集（据我们所知最大的数据集）上进行了广泛评估，实验表明，与其他冠状动脉分割方法相比，我们的方法更准确、更有效。 (C) 2019 Elsevier Ltd. 保留所有权利。
